timestamp,follower_count
2024-07-10T15:20:05.245177,2
2024-07-10T15:29:28.917980,2
2024-07-10T15:41:34.934381,2
2024-07-10T15:53:49.949964,2
2024-07-10T16:36:41.123679,2
2024-07-10T16:48:54.800452,2
2024-07-10T17:26:47.675754,2
2024-07-10T17:38:59.333826,2
2024-07-10T17:51:28.875883,2
2024-07-10T18:37:38.842449,2
2024-07-10T18:49:55.611080,2
2024-07-10T19:25:16.334369,2
2024-07-10T19:37:43.680783,2
2024-07-10T19:50:13.379530,2
2024-07-10T20:27:05.791004,2
2024-07-10T20:39:32.857905,2
2024-07-10T20:51:33.267612,2
2024-07-10T21:23:09.519357,2
2024-07-10T21:37:27.981126,2
2024-07-10T21:49:35.119438,2
2024-07-10T22:28:26.468141,2
2024-07-10T22:40:33.855761,2
2024-07-10T22:53:03.031084,2
2024-07-10T23:24:01.843894,2
2024-07-10T23:40:48.377845,2
2024-07-10T23:53:18.941365,2
2024-07-11T02:27:07.011091,2
2024-07-11T02:52:08.996604,2
2024-07-11T03:31:27.336669,2
2024-07-11T03:43:39.801310,2
2024-07-11T03:55:35.125287,2
2024-07-11T04:34:11.287268,2
2024-07-11T04:46:27.193349,2
2024-07-11T04:58:34.482417,2
2024-07-11T05:31:20.180664,2
2024-07-11T05:43:32.481506,2
2024-07-11T05:55:30.015927,2
2024-07-11T06:37:10.121476,2
2024-07-11T06:49:12.573094,2
2024-07-11T07:25:20.574723,2
2024-07-11T07:37:44.764076,2
2024-07-11T07:50:06.650974,2
2024-07-11T08:31:29.846105,2
2024-07-11T08:43:46.858738,2
2024-07-11T08:56:06.552863,2
